,model,params,score,train_time,test_time
220,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'identity', 'adam', 10.0)",38.095,2.9780917030002456,0.18258110899478197
221,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'lbfgs', 0.0001)",4.762,0.45914052500302205,0.18754513999738265
222,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'lbfgs', 0.0017782794100389228)",38.095,1.3742021430007298,0.18398096800228814
223,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'lbfgs', 0.03162277660168379)",38.095,1.6710178930006805,0.19644715300091775
224,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'lbfgs', 0.5623413251903491)",38.095,1.2342487380010425,0.19022235099691898
225,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'lbfgs', 10.0)",38.095,1.4096823959989706,0.1937910449996707
226,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'sgd', 0.0001)",0.0,3.507432416001393,0.18877747299848124
227,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'sgd', 0.0017782794100389228)",4.762,3.4082223330042325,0.19433192200085614
228,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'sgd', 0.03162277660168379)",0.0,3.4504801410002983,0.19269205500313547
229,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'sgd', 0.5623413251903491)",38.095,3.4838737690006383,0.20089965999795822
230,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'sgd', 10.0)",0.0,3.489184648002265,0.20153028899949277
231,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'adam', 0.0001)",33.333,3.8741073359997245,0.1954841709957691
232,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'adam', 0.0017782794100389228)",33.333,3.717126964998897,0.18446078799752286
233,Neural Network (MLP Classifier),"((75, 30, 50, 10, 3), 'relu', 'adam', 0.03162277660168379)",14.286,3.563598557993828,0.1892425429978175
